STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY ,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,WQI,class
1703,"GHAGGER AT MOONAK, PUNJAB",PUNJAB,22.5,4.6,7.4,1284,24.3,4,21500,50000,757.026109,Unsuitable for drinking
1704,"D/S SARDULGARH, PUNJAB",PUNJAB,26,4,7.4,1096,26,3,31750,57500,1002.985337,Unsuitable for drinking
1705,"U/S SARDULGARH, PUNJAB",PUNJAB,25.8,4.4,7.3,1002,21.5,4,21000,43750,718.9796429,Unsuitable for drinking
1718,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",RAJASTHAN,30.7,4.8,7.6,295,0.8,0,4,9,64.79940174,Poor
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH,20.3,7.1,7.5,293,1.3,0,9,19,56.53666174,Poor
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,20.7,7.1,7.5,316,1.4,0,13,22,57.51598174,Poor
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,20.8,6.6,7.5,274,1.6,0,14,24,61.70511652,Poor
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH,20.6,4.9,7.4,407,16.3,0,51,120,199.1400748,Unsuitable for drinking
2947,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN,28,4.9,8.3,603,1,0,4,5,78.30759478,Very Poor
1717,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN,23.4,5.5,7.4,138,0.8,0,4,6,57.92459304,Poor
2948,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN,25.3,5.5,8.1,625,1.1,0,4,6,72.83933304,Poor
1719,"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, RAJASTHAN",RAJASTHAN,31.1,5,7.3,305,1.7,0,4,12,66.59888783,Poor
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN",RAJASTHAN,26.3,5.6,8.1,552,1.1,0,4,6,72.34218609,Poor
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,22,7.3,7.3,402,2.1,0,4,32,59.10042783,Poor
3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,24.4,7.2,7.3,99,2.2,1,26,57,61.00108812,Poor
3384,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA,23.7,7.2,7.4,102,2.2,1,25,56,62.71542812,Poor
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,24.6,7.6,7.2,72,1.8,2.56,24,57,53.92036029,Poor
1632,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA,23.1,7.1,7.5,131,2.2,3.2,239,413,69.98736841,Poor
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA,21.7,5.2,2.9,682,7.8,1.5,16,30,43.76601391,Good
3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,18.2,7.3,7.1,47,1.3,2,15,48,48.93401449,Good
3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,18.8,7.6,7.2,52,1.2,2,16,36,48.36211362,Good
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,23.8,8,6.9,64,1.8,3.38,23,49,46.8520458,Good
3372,RILANG RIVER,MEGHALAYA,17.8,7.9,7.3,46,1.4,1,12,29,50.22465942,Poor
3373,WAH BLEI,MEGHALAYA,18.7,7.4,7.2,53,1.9,3,14,32,55.58516087,Poor
3374,WAH BLEI,MEGHALAYA,18.8,7.7,7.2,55,1.6,3,15,63,51.51566,Poor
3375,LUKHA RIVER,MEGHALAYA,21.3,6.8,2.7,1074,3.2,2.33,4,11,-8.214970725,Excellent
3376,LUKHA RIVER,MEGHALAYA,22.6,7.1,6.5,237,3.8,4.56,674,1072,76.72106174,Very Poor
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,25.2,7.8,7.2,50,1.6,1.77,20,41,51.00465304,Poor
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,24.8,7.3,7.3,71,2,2.66,21,47,58.81223449,Poor
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,19.9,7.3,7,91,1.8,3.3,20,45,51.88566783,Poor
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,20.7,7.4,7.1,49,1.7,2.44,19,42,52.1293542,Poor
1631,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA,20.6,6.5,7.1,99,2.7,3.56,1967,2722,109.0849901,Unsuitable for drinking
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,21.5,7.5,5.7,50,1.5,2.21,10,23,25.34586058,Good
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,17.7,5.8,6.9,68,3.1,4.9,197,463,73.04710551,Poor
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,17.9,6.9,7.2,44,1.4,2.66,14,33,53.52566232,Poor
1633,"SIMSANG RIVER WILLIAMNAGAR, MEGHALAYA",MEGHALAYA,23.9,7.8,7.3,93,1.9,2.99,264,444,61.02015971,Poor
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18,6.6,7,66,2.3,4,29,63,59.95316986,Poor
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18.4,7.6,7.1,53,1.7,3,23,53,51.32010696,Poor
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18.8,7.8,7,47,1.4,2,8,35,45.52021971,Good
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,24.8,7.7,7.4,128,1.6,3.32,25,56,55.25816667,Poor
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,19.3,7.1,7,54,1.8,2.58,20,43,52.76054174,Poor
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,20.6,7.4,7,69,1.6,3.3,17,87,49.57228087,Good
3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,20.7,7.5,7.2,58,1.6,2.25,21,46,52.52535391,Poor
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,18.4,3.1,7.2,401,21.8,19,22556,31444,759.3414333,Unsuitable for drinking
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,19.1,4.7,7.2,202,13.6,15,13444,20056,474.6959687,Unsuitable for drinking
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,19.7,2.1,7.2,303,37.2,18.2,39444,62333,1280.384456,Unsuitable for drinking
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,20.1,1.8,7.2,394,40.6,15.4,57222,96944,1712.146624,Unsuitable for drinking
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,17.6,7.2,6.9,55,1.7,3.04,26,56,49.84422812,Good
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,22.7,7.9,7.1,55,1.2,3.55,23,50,45.51075942,Good
3363,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,17.9,6.9,6.9,52,2.2,3.48,1576,45,90.01351565,Very Poor
3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,18.9,1.9,7,306,34.2,17.9,48278,85667,1451.65137,Unsuitable for drinking
3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA,19.4,4.5,7.1,196,15.5,11,48611,43333,1272.613929,Unsuitable for drinking
1427,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA,23.7,7.2,7.1,107,6.7,5.56,303,476,104.0772881,Unsuitable for drinking
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,22.7,7.5,7,82,2.1,3.02,45,122,54.11594058,Poor
1403,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA,27.4,6.6,7.7,165,1.7,0,280,325,71.98315652,Poor
1404,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA,21.9,6.7,7.8,167,4.8,1,440,520,104.3679429,Unsuitable for drinking
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,27.5,6.6,7.7,183,3.7,1.55,415,575,92.89908319,Very Poor
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN,31,7.1,7.8,151,8,0.08,8.5,19.5,121.0196284,Unsuitable for drinking
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,28,7.2,7.4,319,0.7,0.18,5,10,48.94339478,Good
1865,RIVER DHADAR AT KOTHADA,GUJARAT,27,6.2,8.4,894,9,0.38,140,350,147.792531,Unsuitable for drinking
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,30,2.2,8,1835,17.9,0.86,10478,25478,473.1322693,Unsuitable for drinking
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,31,2,7.7,3165,32.3,3.44,11498,15173,617.2048232,Unsuitable for drinking
1149,KOLAK AT PATALIA BDG,GUJARAT,29,2.4,7.6,1500,6.2,1.31,3,13,124.5333954,Unsuitable for drinking
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,31,5.9,7.2,52,2.1,0.08,2511.222222,90,119.453763,Unsuitable for drinking
1475,ZUARI AT PANCHAWADI,GOA,30,6.1,6.8,408,1.3,0.17,1300,3808,78.60409797,Very Poor
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30,5.5,6.9,143,1.3,0.09,4100,11113,146.646673,Unsuitable for drinking
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29,5.4,7.2,60,1.5,0.08,428,2309,70.99872667,Poor
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29,5.8,7.2,34,5.3,0.17,855,3322,112.3756588,Unsuitable for drinking
1476,"MANDOVI AT TONCA, MARCELA",GOA,29,5.9,6.7,125,1.5,0.14,1638,5793,87.44163188,Very Poor
3185,MANDOVI AT AMONA BRIDGE,GOA,28,6.4,6.7,175,1.3,0.1,772,3636,63.65928377,Poor
3186,RIVER MANDOVI AT IFFI JETTY,GOA,30,6.2,7.7,39,1.3,0.06,1296,4517,93.72138435,Very Poor
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,30,6.1,7.8,39,1.5,0.06,1032,5840,92.1655313,Very Poor
1543,KALNA AT CHANDELNAN PERNEM,GOA,27,7.3,6.9,61,0.7,0.09,1430,4388,72.17136783,Poor
1548,RIVER ASSONORA AT ASSONORA,GOA,28,6.8,6.6,71,1.5,0.14,2495,3949,99.89798928,Very Poor
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29,7.4,6.5,129,2.3,0.49,5868,16691,179.7546342,Unsuitable for drinking
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28,7,6.8,503,1.6,0.66,965,2404,69.2920087,Poor
3189,RIVER CHAPORA AT SIOLIM,GOA,29,6.3,7.5,31,1.6,0.06,1466,4267,96.12413739,Very Poor
1546,KHANDEPAR AT OPA NAN PONDA,GOA,29,7.1,6.8,70,0.8,0.17,716,3567,56.33344841,Poor
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,30,7.3,6.8,69,1.2,0.12,457,2446,52.93586783,Poor
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28,6.7,6.6,118,1,0.22,1104,3496,65.1314029,Poor
1545,RIVER MADAI AT DABOS NAN  VALPOI,GOA,28,7.4,6.8,80,1.3,0.06,274,1404,49.06230087,Good
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29,4.5,6.6,250,2.4,0.16,1572,5889,98.99985594,Very Poor
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28,6.1,6.9,74,1.8,0.19,1074,3937,79.72858464,Very Poor
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,30,5.9,7.3,44,1.6,0.14,962,2794,83.12563188,Very Poor
3183,"SAL AT KHAREBAND, MARGAO",GOA,30,2.4,6.5,195,4.8,0.35,7980,14217,272.0691154,Unsuitable for drinking
3184,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31,4,6.8,207,1.8,0.34,818,2280,82.11893072,Very Poor
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29,5.4,7.6,40,1.6,0.07,290,1330,75.55725333,Very Poor
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30,5.3,7.6,41,1.4,0.08,952,2517,89.16059362,Very Poor
1547,RIVER TALPONA AT CANACONA,GOA,29,7,6.9,54,0.8,0.21,667,3059,57.3567287,Poor
3188,RIVER TIRACOL AT TIRACOL,GOA,29,5.9,7.7,44,2.1,0.08,1200,831,99.31701188,Very Poor
1544,VALVANT AT SANKLI NAN BICHOLIM,GOA,29,7.1,6.5,60,1.7,0.13,2926,8163,108.9377951,Unsuitable for drinking
2651,"AMBA AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,29,6.9,7.7,99,3.3,0.56,53,123,79.68866232,Very Poor
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,30,6.6,7.9,123,3.2,0.52,44,104,83.51654986,Very Poor
2653,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR,THANE",MAHARASHTRA,27,6.6,7.7,220,3.6,0.65,25,77,83.19506319,Very Poor
2654,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27,6.8,7.7,219,3.4,0.63,23,75,80.41544261,Very Poor
1092,KALU AT ATALE VILLAGE,MAHARASHTRA,27,4.8,7.2,5429,8.4,2.08,177,408,130.3985751,Unsuitable for drinking
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,23,6.4,8,493,4.2,3.91,17,68,94.91414377,Very Poor
1152,KUNDALIKA AT ROHA CITY,MAHARASHTRA,29,6.8,7.6,100,3,0.54,124,295,77.38312261,Very Poor
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,29,6.7,7.5,316,4.6,0.6,47,132,88.60792957,Very Poor
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,28,5.8,7.9,37227,9.5,1.42,231,451,155.6031655,Unsuitable for drinking
2672,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,29,6.9,7.7,84,3.1,0.42,69,168,78.26315565,Very Poor
2168,MITHI RIVER,MAHARASHTRA,25,4.9,7.6,21254,55.5,2.18,560,964,565.8697414,Unsuitable for drinking
2676,"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,28,6.9,7.9,312,2.7,1.58,4,107,76.92142232,Very Poor
1151,PATALGANGA AT SHILPHATA,MAHARASHTRA,29,6.8,7.5,146,3,0.6,124,241,75.65192261,Very Poor
1462,PATALGANGA NEAR INTAKE OF MIDC W/W,MAHARASHTRA,29,6.7,7.3,127,2.9,0.59,100,209,71.23309623,Poor
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,29,5.6,6.9,432,4.5,1.72,58,173,82.99877942,Very Poor
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,29,6.5,7.3,126,3,0.59,132,284,73.80395014,Poor
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,30,7.1,7.5,128,3,0.6,136,297,74.48222174,Poor
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,30,6.4,7.3,129,3.1,0.6,68,191,73.73713043,Poor
2689,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,29,6.9,7.7,129,2.9,0.55,135,268,77.99746899,Very Poor
2696,"PEHLAR DAM ON PEHLAR INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,25,7,7.9,153,2.9,0.55,30,86,78.63312203,Very Poor
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,30,6.4,7.6,10165,3.7,2.14,5,139,85.22888377,Very Poor
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,30,6.9,7.7,307,2.8,3.6,4,123,74.55789565,Poor
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,31,6.3,7.7,322,3.5,1.1,4,116,83.36924406,Very Poor
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,30,6.5,7.5,5835,3.4,1.72,4,126,79.33271681,Very Poor
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,30,6.3,7.4,9245,4.7,2,4,134,90.84906406,Very Poor
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,28,6.5,8.1,1907,4,0.55,46,115,94.99361681,Very Poor
2707,"SURYA AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",MAHARASHTRA,28,7,8,1896,3.5,0.64,190,245,89.64460203,Very Poor
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,28,7,8,206,2.9,0.56,31,74,80.40133536,Very Poor
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27,6.8,7.8,239,3.3,0.56,33,77,81.48442928,Very Poor
1093,ULHAS AT U/S OF NRC BUND AT MOHANE,MAHARASHTRA,27,6.4,7.6,152,3.2,0.96,62,142,79.73137043,Very Poor
1094,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,26,6.7,7.7,146,3,0.89,30,73,77.52235623,Very Poor
2162,ULHAS ATJAMBHUL WATER WORKS,MAHARASHTRA,27,6.7,7.6,137,2.9,0.76,24,64,74.7503829,Poor
2712,"VAITARNA NR RD BDG, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,28,6.6,7.8,228,3.5,0.57,30,79,84.14981652,Very Poor
2164,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23,7,7.7,409,2.4,0.93,4,112,70.2641087,Poor
2713,"VASHISHTI  AT D/S OF THREE M PAPER MILLS NR CHIPLUN WATER INTAKE JACKWELL,KHERDI,RATNAGIRI",MAHARASHTRA,22,6.8,7.6,263,2.9,0.81,4,123,73.87346261,Poor
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23,6.9,7.5,338,2.3,3.93,4,108,66.69949565,Poor
1342,ACHENKOIL AT THUMPAMON,KERALA,26,7,7.2,79,0.8,0.62,279,637,53.50741536,Poor
1443,ACHENKOIL AT CHENNITHULA,KERALA,26,6.6,7,67,1.1,0.53,275,670,54.52174319,Poor
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,26,6.6,7.3,59,0.7,0.57,281,541,56.29577652,Poor
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE),PATHANAMTHITTA",KERALA,26,6.2,7.3,66,0.8,0.55,303,609,59.60583768,Poor
2297,ANCHARAKANDY AT MERUVAMBA,KERALA,26,7.1,7,67,1,0.34,170,538,48.86079507,Good
2319,ANCHARAKANDY AT MERUVAMBA,KERALA,26,7,6.7,5341,1.1,0.37,158,528,45.91524203,Good
2286,R AYROOR AT AYROOR BRIDGE,KERALA,29,6.7,7.3,89,1.1,0.35,1163,2025,79.15671623,Very Poor
2331,BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28,6.2,7.3,136,1,0.46,296,676,61.24183768,Poor
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28,7.1,8.1,212,0.9,0.56,524,992,75.05082841,Very Poor
1154,CHALAKUDY AT PULICKALKANANDAVU,KERALA,29,6.3,6.3,134,1.2,0.67,224,780,43.62535072,Good
20,CHALIYAR AT KOOLIMADU,KERALA,26,7.3,7.2,76,0.6,0.31,468,893,54.49242116,Poor
21,CHALIYAR AT CHUNGAPALLY,KERALA,26,7,7.3,11041,0.9,0.29,256,503,57.96639536,Poor
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,28,6.8,7.1,75,0.8,0.5,693,1169,61.98602928,Poor
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,29,7.4,7.2,61,0.7,0.11,54,255,45.58160754,Good
1573,CHITRAPUZHA AT IRUMPANAM,KERALA,28,1.7,6.6,769,3.4,1.11,556,1717,98.16889739,Very Poor
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26,6.1,7.5,14083,1.4,0.25,920,2686,86.01370464,Very Poor
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26,6.6,7.2,92,0.8,0.77,332,660,56.62738319,Poor
2287,R ITHIKKARA AT ITHIKKARA,KERALA,25,6.6,7.2,1348,0.8,1.01,392,810,58.28894319,Poor
1566,R KADALUNDI AT THIRURANGADY,KERALA,29,6,6.7,95,1.2,0.29,253,680,52.58138493,Poor
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,29,6.6,6.8,78,1,0.2,275,626,50.12120319,Poor
2337,KADAMBAYAR AT BRAHMAPURAM,KERALA,28,0.6,6.7,268,4.1,1.28,400,1308,107.7640406,Unsuitable for drinking
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27,1.8,6.6,82,2,0.39,399,1410,81.52791043,Very Poor
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,25,7.1,7.2,61,1,0.34,251,608,54.13697507,Poor
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26,3.9,7.6,30298,2.5,0.59,4830,7240,199.088171,Unsuitable for drinking
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27,6.6,8,310,1.1,0.54,517,783,77.30935652,Very Poor
3458,KARAPUZHA DAM AT WAYANAD,KERALA,27,7,7.1,97,0.8,0.35,45,77,46.45125536,Good
1571,R KARINGODE AT KAKKADAVU,KERALA,29,7.3,7,51,0.7,0.18,65,258,42.83990783,Good
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,29,0.5,7.1,1717,21.2,4.41,3317,15833,334.8805209,Unsuitable for drinking
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,29,7,7.4,55,0.9,0.32,800,1400,69.50849536,Poor
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29,6.1,6.8,67,1.1,0.58,80,394,49.09042464,Good
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,27,7,6.7,61,1.3,0.28,168,248,46.67360203,Good
2291,KEECHERI AT VADAKKANCHERY BDG,KERALA,30,5.2,6.9,81,1.5,0.37,71,465,58.49384725,Poor
2326,R KORAYAR AT KANJIKODE,KERALA,27,6.1,8,510,1.1,0.72,784,1572,85.8527513,Very Poor
1569,R KUPPAM AT THALIPARAMBA,KERALA,27,6.5,6.9,12150,1.8,0.52,711,1481,71.93441681,Poor
2298,R KUPPAM AT RAYAROM,KERALA,25,7.9,7.2,50,1.1,0.3,319,845,52.72162609,Poor
1567,R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,25,7.5,6.9,34,0.9,0.14,110,256,42.89808058,Good
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26,7,7.4,72,1,0.38,496,897,63.57493536,Poor
2285,R MAMOM AT MAMOM BRIDGE,KERALA,29,7.3,7.3,99,0.9,0.23,1088,1788,72.77923449,Poor
1340,MANIMALA  AT KALLOOPARA,KERALA,27,7.5,6.9,125,1.6,0.45,970,1400,68.40607391,Poor
1384,MANIMALA AT THONDRA,KERALA,27,6.8,6.9,116,1.7,0.4,825,1260,69.41613594,Poor
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27,5.8,7.3,107,0.9,0.88,232,343,60.83286551,Poor
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,28,7.1,7.2,85,0.8,0.31,67,184,48.20889507,Good
1339,MEENACHIL AT KIDANGOOR,KERALA,26,6.8,7.1,58,0.7,0.46,2010,3460,90.70243594,Very Poor
2304,R MOGRAL AT MOGRAL BR.,KERALA,29,5.7,7.3,13197,1.5,0.35,46,144,65.2926258,Poor
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,27,6.7,7.1,58,1.2,0.39,964,1739,72.10664957,Poor
2302,NEELASWARAM AT NAMBIARKAL ,KERALA,28,7,6.9,3453,0.9,0.17,56,278,44.87041536,Good
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA,29,6.5,7,14369,1.3,0.27,63,175,55.09714348,Poor
1563,R NEYYAR AT AMARAVILA,KERALA,28,6.6,7.3,70,1.4,0.39,838,1875,75.07809652,Very Poor
2284,R NEYYAR AT ARUVIPURAM,KERALA,29,7,7.3,60,0.8,0.18,631,1813,63.2290487,Poor
2288,R PALLICKAL AT NELLIMUKAL,KERALA,26,6.3,7.2,97,0.8,0.56,357,880,58.64968406,Poor
1156,PAMBA AT CHENGANNUR,KERALA,28,6,7,63,1.1,1.04,243,493,56.71700493,Poor
1341,PAMBA AT THAKAZHY,KERALA,28,4.4,7.1,113,1.5,1.17,358,722,72.30828957,Poor
1565,PAMBA DOWN,KERALA,28,4.5,7.2,79,1,1.04,279,537,67.32890928,Poor
17,PERIYAR NEAR ALWAYENANELOOR,KERALA,28,5.1,6.9,1789,2.1,0.68,408,1946,72.46930754,Poor
18,PERIYAR AT KALADY,KERALA,27,7.5,7.2,36,1.1,0.27,282,1134,53.88549391,Poor
1338,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,28,6.8,7,59,1.3,0.32,648,2267,63.89988928,Poor
2333,PERIYAR AT MUPPATHADAM,KERALA,28,6.8,6.9,114,1.4,0.23,388,1785,57.19930928,Poor
